Student_ID,Student_Name,Study_Hours,Marks
1,Sarah,2.9,40
2,Tara,4.0,85
3,Robert,9.4,100
4,Christopher,3.0,48
5,Thomas,8.7,57
6,Christian,1.8,65
7,Caroline,4.4,59
8,Justin,7.0,46
9,Alexander,7.6,62
10,Jaime,2.2,52
11,James,6.0,59
12,Molly,1.5,35
13,Elizabeth,7.4,85
14,Daniel,2.8,66
15,Kevin,6.4,51
16,Raymond,2.6,50
17,Amber,5.3,87
18,Anthony,1.1,93
19,Andrew,5.8,84
20,Raymond,5.0,46
21,James,3.6,49
22,Amy,7.1,70
23,Marissa,7.3,46
24,Jeff,5.1,73
25,Charles,9.2,98
26,Kara,5.3,37
27,Kevin,6.1,79
28,Katie,6.1,54
29,David,6.7,65
30,Jacqueline,6.4,59
31,John,6.6,68
32,Jacqueline,6.8,66
33,Isaac,7.7,51
34,Elizabeth,1.3,94
35,Eric,8.8,52
36,Sharon,6.2,76
37,Jennifer,1.4,92
38,Victoria,10.0,35
39,Mark,4.4,75
40,Shawn,6.2,37
41,Andrew,7.6,52
42,Anne,9.4,74
43,Rodney,5.3,46
44,Brandon,3.7,66
45,Henry,7.0,85
46,Micheal,3.8,66
47,Michael,7.4,97
48,Maria,6.2,52
49,Wayne,2.8,76
50,Brandi,7.5,43
51,Jason,6.1,56
52,Joseph,7.5,80
53,Stephanie,9.2,50
54,Jenna,6.0,93
55,Phillip,2.5,35
56,Tammy,8.6,72
57,Michael,7.1,73
58,Brian,6.6,89
59,Donald,2.5,98
60,Denise,4.3,49
61,Peter,8.8,55
62,Sheila,4.8,57
63,Rachel,8.6,72
64,Bradley,6.0,50
65,Nicole,1.8,55
66,Michelle,1.7,83
67,Tara,8.0,51
68,Sarah,3.5,53
69,Douglas,2.9,87
70,Joel,9.8,70
71,Lauren,7.8,91
72,Jessica,2.3,40
73,Natalie,6.2,73
74,Alison,9.4,96
75,Ashley,9.6,86
76,Kelly,3.2,39
77,Sharon,2.2,52
78,Michael,2.0,79
79,William,9.3,98
80,Michelle,1.1,66
81,Kayla,3.8,58
82,Jeffery,1.9,73
83,Allison,2.2,55
84,Aaron,2.0,53
85,Jeffery,1.7,72
86,Renee,4.7,94
87,Jonathan,2.8,95
88,Gabriel,1.6,84
89,Matthew,5.8,97
90,Eugene,9.9,61
91,Sandra,3.7,79
92,Michael,7.2,68
93,Troy,8.4,95
94,Kimberly,5.0,45
95,Shirley,8.8,74
96,Tammy,5.0,96
97,Joseph,8.8,37
98,Christine,1.8,95
99,Hannah,3.8,87
100,Hannah,2.4,76
